p_i;p_n;pc_i;p_qu;p_up
1;Chai;1;10 boxes x 30 bags;18
2;Chang;1;24 - 12 oz bottles;19
3;Aniseed Syrup;2;12 - 550 ml bottles;10
4;Chef Anton's Cajun Seasoning;2;48 - 6 oz jars;22
5;Chef Anton's Gumbo Mix;2;36 boxes;21.35
6;Grandma's Boysenberry Spread;2;12 - 8 oz jars;25
7;Uncle Bob's Organic Dried Pears;7;12 - 1 lb pkgs.;30
8;Northwoods Cranberry Sauce;2;12 - 12 oz jars;40
9;Mishi Kobe Niku;6;18 - 500 g pkgs.;97
10;Ikura;8;12 - 200 ml jars;31
11;Queso Cabrales;4;1 kg pkg.;21
12;Queso Manchego La Pastora;4;10 - 500 g pkgs.;38
13;Konbu;8;2 kg box;6
14;Tofu;7;40 - 100 g pkgs.;23.25
15;Genen Shouyu;2;24 - 250 ml bottles;13
16;Pavlova;3;32 - 500 g boxes;17.45
17;Alice Mutton;6;20 - 1 kg tins;39
18;Carnarvon Tigers;8;16 kg pkg.;62.5
19;Teatime Chocolate Biscuits;3;10 boxes x 12 pieces;9.2
20;Sir Rodney's Marmalade;3;30 gift boxes;81
